"name","year","duration","genre","rating","description","director","stars"
"A Sound of Thunder","2005","1h 50min","Action Adventure Horror","4.2","A single mistake in the past, by a time travel company in the future, has devastating and unforeseen consequences.","Peter Hyams","Edward Burns Ben Kingsley Catherine McCormack"
"V/H/S Viral","2014","1h 21min","Action Adventure Fantasy","4.2","A Los Angeles police chase sends a fame-obsessed man on a wild ride to save his girlfriend from a cybernetic terror.","Justin Benson","Patrick Lawrie Emilia Ares Celia K. Milius"
"Highlander II: The Quickening","1991","1h 31min","Action Adventure Drama","4.2","In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield.","Russell Mulcahy","Christopher Lambert Sean Connery Virginia Madsen"
"Prisoners of the Ghostland","2021","1h 43min","Fantasy Horror Thriller","4.2","A notorious criminal must break an evil curse in order to rescue an abducted girl who has mysteriously disappeared.","Sion Sono","Nicolas Cage Sofia Boutella Nick Cassavetes"
"Ghoulies","1984","1h 21min","Comedy Fantasy Horror","4.2","A young man and his girlfriend move into his parents' old mansion, where his satanic father is buried, and immediately becomes possessed by a desire to conjure and control tiny demons.","Luca Bercovici","Peter Liapis Lisa Pelikan Michael Des Barres"
"The Devil Inside","2012","1h 23min","Horror","4.2","In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who allegedly murdered three people during her own exorcism.","William Brent Bell","Fernanda Andrade Simon Quarterman Evan Helmuth"
"Torque","2004","1h 24min","Action Comedy Crime","4.2","A biker returns from Thailand to set things straight with his girlfriend. One gang leader wants him for delivery of 2 motorbikes filled with crystal meth and another gang leader wants him for murdering his brother.","Joseph Kahn","Martin Henderson Ice Cube Monet Mazur"
"Devil's Due","2014","1h 29min","Horror Mystery","4.2","After a mysterious, lost night on their honeymoon, a newlywed couple finds themselves dealing with an earlier-than-planned pregnancy.","Matt Bettinelli-Olpin","Allison Miller Zach Gilford Sam Anderson"
"Superfast!","2015","1h 39min","Action Comedy Crime","4.2","A spoof on The Fast and the Furious (2001) and the following F&F movies. An undercover cop joins a gang of criminal street racers to get close to the LA crime kingpin.","Jason Friedberg","Alex Ashbaugh Dale Pavinski Lili Mirojnick"
"Brazen","2022","1h 34min","Crime Drama Mystery","4.2","When her sister is killed and her double life as a webcam performer is revealed, Grace ignores the warnings of a cool-headed detective and gets involved in the case.","Monika Mitchell","Alyssa Milano Sam Page Malachi Weir"
"Escape Room","2017","1h 21min","Horror Thriller","4.2","Six friends test their intelligence when an escape room they participate in takes a dark and twisted turn.","Will Wernick","Evan Williams Annabelle Stephenson Elisabeth Hower"
"Boogeyman","2005","1h 29min","Drama Horror Mystery","4.2","A young man tries to deal with the childhood terror that has never stopped haunting him.","Stephen Kay","Barry Watson Emily Deschanel Lucy Lawless"
"Universal Soldier: The Return","1999","1h 23min","Action Sci-Fi","4.2","The ""universal soldiers"" must fight the whole army, when the military's supercomputer S.E.T.H gets out of control.","Mic Rodgers","Jean-Claude Van Damme Bill Goldberg Heidi Schanz"
"The Patriot","1998","1h 30min","Action Thriller","4.2","A respected doctor must race against time to find a cure for a lethal virus unleashed by a paramilitary militia leader.","Dean Semler","Steven Seagal L.Q. Jones Gailard Sartain"
"Vice","2015","1h 36min","Action Sci-Fi Thriller","4.2","Bruce Willis stars in this Sci-Fi thriller about ultimate resort: VICE, where customers can play out their wildest fantasies with artificial inhabitants who look like humans.","Brian A. Miller","Thomas Jane Bruce Willis Ambyr Childers"
"Fantastic Four","2015","1h 40min","Action Adventure Sci-Fi","4.3","Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.","Josh Trank","Miles Teller Kate Mara Michael B. Jordan"
"Are We Done Yet?","2007","1h 32min","Comedy Family","4.3","Newlyweds Nick and Suzanne Persons decide to move to the suburbs to provide a better life for their two kids, Lindsey and Kevin. But their idea of a dream home is disturbed by a contractor with a bizarre approach to business.","Steve Carr","Ice Cube Nia Long John C. McGinley"
"A Wrinkle in Time","2018","1h 49min","Adventure Drama Family","4.3","After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.","Ava DuVernay","Storm Reid Oprah Winfrey Reese Witherspoon"
"The Bye Bye Man","2017","1h 36min","Drama Fantasy Horror","4.3","Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.","Stacy Title","Douglas Smith Lucien Laviscount Cressida Bonas"
"Siberia","2018","1h 44min","Crime Drama Romance","4.3","When an American diamond trader's Russian partner goes missing, he journeys to Siberia in search of him, but instead begins a love affair.","Matthew Ross","Keanu Reeves Boris Gulyarin Ashley St. George"
"The Legend of Hercules","2014","1h 39min","Action Adventure Fantasy","4.3","The origin story of the mythical Greek hero. Betrayed by his stepfather, the King, and exiled and sold into slavery because of a forbidden love, Hercules must use his formidable powers to fight his way back to his rightful kingdom.","Renny Harlin","Kellan Lutz Gaia Weiss Scott Adkins"
"Cabin Fever 2: Spring Fever","2009","1h 26min","Horror","4.3","A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.","Ti West","Rider Strong Noah Segan Alexi Wasser"
"Area 51","2015","1h 31min","Horror Mystery Sci-Fi","4.3","Three young conspiracy theorists attempt to uncover the mysteries of Area 51, the government's secret location rumored to have hosted encounters with alien beings. What they find at this hidden facility exposes unimaginable secrets.","Oren Peli","Reid Warner Darrin Bragg Ben Rovner"
